Neighbourhood,From_Date,To_Date,Crime_Code,Crime_Type,Ward,City,FID
Lincoln,2017-08-10T00:00:00.000Z,,2140,THEFT OTH <$5000,7,Fredericton,1121
Colonial heights,2017-06-12T00:00:00.000Z,,2120,B&E RESIDENCE,12,Fredericton,1122
Colonial heights,2017-07-08T00:00:00.000Z,,2120,B&E RESIDENCE,12,Fredericton,1123
Colonial heights,2017-09-19T00:00:00.000Z,2017-09-20T00:00:00.000Z,2120,B&E RESIDENCE,12,Fredericton,1124
Colonial heights,2017-02-27T00:00:00.000Z,2017-02-27T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1125
Colonial heights,2017-06-08T00:00:00.000Z,2017-06-09T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1126
Colonial heights,2017-06-11T00:00:00.000Z,2017-06-12T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1127
Colonial heights,2017-06-16T00:00:00.000Z,2017-06-18T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1128
Colonial heights,2017-07-11T00:00:00.000Z,2017-07-12T00:00:00.000Z,2142,THEFT FROM MV < $5000,11,Fredericton,1129
Colonial heights,2017-10-23T00:00:00.000Z,,2142,THEFT FROM MV < $5000,11,Fredericton,1130
Garden Place,2017-05-17T00:00:00.000Z,2017-05-18T00:00:00.000Z,2140,THEFT BIKE<$5000,12,Fredericton,1131
Garden Place,2017-01-24T00:00:00.000Z,2017-01-26T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1132
Garden Place,2017-04-30T00:00:00.000Z,2017-05-01T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1133
Garden Place,2017-04-30T00:00:00.000Z,2017-05-01T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1134
Fredericton South,,,0, ,0, ,1135
The Hugh John Flemming Forestry Center,2017-06-22T00:00:00.000Z,2017-06-23T00:00:00.000Z,2120,B&E NON-RESIDNCE,11,Fredericton,1136
The Hugh John Flemming Forestry Center,2017-09-21T00:00:00.000Z,2017-09-27T00:00:00.000Z,2120,B&E OTHER,11,Fredericton,1137
Platt,2017-10-15T00:00:00.000Z,2017-10-15T00:00:00.000Z,2140,THEFT OTH <$5000,10,Fredericton,1138
Platt,2017-10-20T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1139
Waterloo Row,2017-07-31T00:00:00.000Z,2017-08-01T00:00:00.000Z,2120,B&E OTHER,11,Fredericton,1140
Waterloo Row,2017-06-21T00:00:00.000Z,2017-06-21T00:00:00.000Z,2120,B&E RESIDENCE,11,Fredericton,1141
Waterloo Row,2017-07-06T00:00:00.000Z,2017-07-10T00:00:00.000Z,2120,B&E RESIDENCE,11,Fredericton,1142
Waterloo Row,2017-03-02T00:00:00.000Z,,2170,MISCHIEF TO PROP,11,Fredericton,1143
Waterloo Row,2017-07-17T00:00:00.000Z,2017-07-17T00:00:00.000Z,2140,THEFT BIKE<$5000,11,Fredericton,1144
Waterloo Row,2017-06-07T00:00:00.000Z,2017-06-08T00:00:00.000Z,2142,THEFT FROM MV < $5000,11,Fredericton,1145
Waterloo Row,2017-07-17T00:00:00.000Z,,2142,THEFT FROM MV < $5000,11,Fredericton,1146
Waterloo Row,2017-08-26T00:00:00.000Z,2017-08-26T00:00:00.000Z,2142,THEFT FROM MV < $5000,11,Fredericton,1147
Waterloo Row,2017-08-27T00:00:00.000Z,2017-09-10T00:00:00.000Z,2140,THEFT OTH <$5000,11,Fredericton,1148
University Of New Brunswick,2017-09-23T00:00:00.000Z,,2120,B&E RESIDENCE,11,Fredericton,1149
University Of New Brunswick,2017-05-05T00:00:00.000Z,2017-05-06T00:00:00.000Z,2140,THEFT BIKE<$5000,11,Fredericton,1150
University Of New Brunswick,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,2140,THEFT BIKE<$5000,11,Fredericton,1151
University Of New Brunswick,2017-02-15T00:00:00.000Z,2017-02-15T00:00:00.000Z,2142,THEFT FROM MV < $5000,11,Fredericton,1152
University Of New Brunswick,2017-03-14T00:00:00.000Z,2017-03-16T00:00:00.000Z,2142,THEFT FROM MV < $5000,11,Fredericton,1153
University Of New Brunswick,2017-08-10T00:00:00.000Z,2017-08-10T00:00:00.000Z,2142,THEFT FROM MV < $5000,11,Fredericton,1154
University Of New Brunswick,2017-08-25T00:00:00.000Z,2017-08-26T00:00:00.000Z,2142,THEFT FROM MV < $5000,11,Fredericton,1155
University Of New Brunswick,2017-05-14T00:00:00.000Z,2017-05-14T00:00:00.000Z,2140,THEFT OTH <$5000,11,Fredericton,1156
University Of New Brunswick,2017-06-09T00:00:00.000Z,,2140,THEFT OTH <$5000,11,Fredericton,1157
University Of New Brunswick,2017-06-23T00:00:00.000Z,2017-06-23T00:00:00.000Z,2140,THEFT OTH <$5000,11,Fredericton,1158
University Of New Brunswick,2017-07-22T00:00:00.000Z,,2140,THEFT OTH <$5000,11,Fredericton,1159
University Of New Brunswick,2017-08-25T00:00:00.000Z,2017-08-28T00:00:00.000Z,2140,THEFT OTH <$5000,11,Fredericton,1160
University Of New Brunswick,2017-08-25T00:00:00.000Z,2017-08-28T00:00:00.000Z,2140,THEFT OTH <$5000,11,Fredericton,1161
University Of New Brunswick,2017-10-06T00:00:00.000Z,,2140,THEFT OTH <$5000,11,Fredericton,1162
University Of New Brunswick,2017-10-09T00:00:00.000Z,2017-10-12T00:00:00.000Z,2140,THEFT OTH <$5000,11,Fredericton,1163
Saint Thomas University,2017-03-15T00:00:00.000Z,2017-03-15T00:00:00.000Z,2142,THEFT FROM MV < $5000,11,Fredericton,1164
College Hill,2017-01-30T00:00:00.000Z,,2110,ARSON,11,Fredericton,1165
College Hill,2017-09-03T00:00:00.000Z,,2110,ARSON,11,Fredericton,1166
College Hill,2017-07-16T00:00:00.000Z,2017-07-17T00:00:00.000Z,2120,B&E OTHER,11,Fredericton,1167
College Hill,2017-08-27T00:00:00.000Z,,2120,B&E OTHER,11,Fredericton,1168
College Hill,2017-03-10T00:00:00.000Z,,2120,B&E RESIDENCE,11,Fredericton,1169
Williams / Hawkins Area,2017-06-05T00:00:00.000Z,2017-06-05T00:00:00.000Z,2170,MISCHIEF TO PROP,2,Fredericton,1170
Williams / Hawkins Area,2017-08-19T00:00:00.000Z,,2170,MISCHIEF TO PROP,2,Fredericton,1171
Williams / Hawkins Area,2017-10-04T00:00:00.000Z,2017-10-05T00:00:00.000Z,2170,MISCHIEF TO PROP,2,Fredericton,1172
Williams / Hawkins Area,2017-10-19T00:00:00.000Z,,2170,MISCHIEF TO PROP,2,Fredericton,1173
Williams / Hawkins Area,2017-01-31T00:00:00.000Z,,2142,THEFT FROM MV < $5000,2,Fredericton,1174
Williams / Hawkins Area,2017-05-08T00:00:00.000Z,2017-05-09T00:00:00.000Z,2142,THEFT FROM MV < $5000,2,Fredericton,1175
Williams / Hawkins Area,2017-05-21T00:00:00.000Z,2017-05-21T00:00:00.000Z,2142,THEFT FROM MV < $5000,2,Fredericton,1176
Williams / Hawkins Area,2017-07-08T00:00:00.000Z,,2142,THEFT FROM MV < $5000,2,Fredericton,1177
Williams / Hawkins Area,2017-07-13T00:00:00.000Z,2017-07-14T00:00:00.000Z,2142,THEFT FROM MV < $5000,2,Fredericton,1178
Williams / Hawkins Area,2017-09-08T00:00:00.000Z,,2142,THEFT FROM MV < $5000,2,Fredericton,1179
Williams / Hawkins Area,2017-10-08T00:00:00.000Z,,2140,THEFT OTH <$5000,2,Fredericton,1180
McKnight,2017-01-24T00:00:00.000Z,,2170,MISCHIEF TO PROP,2,Fredericton,1181
McKnight,2017-03-08T00:00:00.000Z,2017-03-09T00:00:00.000Z,2142,THEFT FROM MV < $5000,2,Fredricton,1182
McKnight,2017-05-16T00:00:00.000Z,,2140,THEFT OTH <$5000,2,Fredericton,1183
McKnight,2017-06-08T00:00:00.000Z,,2140,THEFT OTH <$5000,2,Fredericton,1184
Shadowood Estates,2017-05-08T00:00:00.000Z,2017-05-08T00:00:00.000Z,2170,MISCHIEF TO PROP,2,Fredericton,1185
Shadowood Estates,2017-07-21T00:00:00.000Z,,2170,MISCHIEF TO PROP,2,Fredericton,1186
Shadowood Estates,2017-08-19T00:00:00.000Z,2017-08-19T00:00:00.000Z,2135,MOTOR VEH THEFT,2,Fredericton,1187
Shadowood Estates,2017-03-08T00:00:00.000Z,2017-03-09T00:00:00.000Z,2142,THEFT FROM MV < $5000,2,Fredericton,1188
Shadowood Estates,2017-05-07T00:00:00.000Z,2017-05-08T00:00:00.000Z,2142,THEFT FROM MV < $5000,2,Fredericton,1189
North Devon,2017-02-18T00:00:00.000Z,2017-02-18T00:00:00.000Z,2120,B&E NON-RESIDNCE,3,Fredericton,1190
North Devon,2017-04-19T00:00:00.000Z,,2120,B&E NON-RESIDNCE,3,Fredericton,1191
North Devon,2017-04-20T00:00:00.000Z,,2120,B&E NON-RESIDNCE,3,Fredericton,1192
North Devon,2017-06-19T00:00:00.000Z,,2120,B&E NON-RESIDNCE,3,Fredericton,1193
North Devon,2017-10-15T00:00:00.000Z,,2120,B&E NON-RESIDNCE,3,Fredericton,1194
North Devon,2017-08-06T00:00:00.000Z,2017-08-07T00:00:00.000Z,2120,B&E OTHER,3,Fredericton,1195
North Devon,2017-08-11T00:00:00.000Z,2017-08-13T00:00:00.000Z,2120,B&E OTHER,3,Fredericton,1196
North Devon,2017-05-06T00:00:00.000Z,,2120,B&E RESIDENCE,3,Fredericton,1197
North Devon,2017-06-23T00:00:00.000Z,,2120,B&E RESIDENCE,3,Fredericton,1198
North Devon,2017-06-24T00:00:00.000Z,2017-06-29T00:00:00.000Z,2120,B&E RESIDENCE,3,Fredericton,1199
North Devon,2017-09-09T00:00:00.000Z,2017-09-11T00:00:00.000Z,2120,B&E RESIDENCE,3,Fredericton,1200
Prospect,2017-02-21T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1201
Prospect,2017-02-26T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1202
Prospect,2017-02-23T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1203
Prospect,2017-02-24T00:00:00.000Z,2017-02-27T00:00:00.000Z,2140,THEFT OTH <$5000,9,Fredericton,1204
Prospect,2017-03-04T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1205
Prospect,2017-03-08T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1206
Prospect,2017-03-08T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1207
Prospect,2017-03-15T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1208
Prospect,2017-03-20T00:00:00.000Z,,2140,THEFT OTH <$5000,11,Fredericton,1209
Prospect,2017-03-23T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1210
Prospect,2017-03-31T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1211
Prospect,2017-04-04T00:00:00.000Z,,2140,THEFT OTH <$5000,12,Fredericton,1212
Prospect,2017-04-29T00:00:00.000Z,2017-04-29T00:00:00.000Z,2140,THEFT OTH <$5000,9,Fredericton,1213
Prospect,2017-05-03T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1214
Prospect,2017-05-03T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1215
Prospect,2017-05-12T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1216
Prospect,2017-05-23T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1217
Prospect,2017-05-28T00:00:00.000Z,,2140,THEFT OTH <$5000,11,Fredericton,1218
Prospect,2017-05-30T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1219
Prospect,2017-05-26T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1220
Prospect,2017-06-08T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1221
Prospect,2017-06-08T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1222
Prospect,2017-06-16T00:00:00.000Z,2017-06-17T00:00:00.000Z,2140,THEFT OTH <$5000,9,Fredericton,1223
Prospect,2017-06-19T00:00:00.000Z,2017-06-19T00:00:00.000Z,2140,THEFT OTH <$5000,11,Fredericton,1224
Prospect,2017-06-23T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1225
