Neighbourhood,From_Date,To_Date,Crime_Code,Crime_Type,Ward,City,FID
North Devon,2017-04-17T00:00:00.000Z,2017-04-18T00:00:00.000Z,2170,MISCHIEF TO PROP,3,Fredericton,1304
North Devon,2017-02-20T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1305
North Devon,2017-10-12T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1306
Rail Side,2017-07-13T00:00:00.000Z,2017-07-14T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1307
North Devon,2017-05-18T00:00:00.000Z,,2170,MISCHIEF TO PROP,3,Fredericton,1308
North Devon,2017-05-12T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1309
Hanwell North,2017-06-25T00:00:00.000Z,,2120,B&E OTHER,12,Fredericton,1310
Silverwood,2017-05-09T00:00:00.000Z,2017-05-09T00:00:00.000Z,2120,B&E RESIDENCE,12,Fredericton,1311
North Devon,2017-06-20T00:00:00.000Z,,2170,MISCHIEF TO PROP,3,Fredericton,1312
North Devon,2017-05-15T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1313
Hanwell North,2017-01-27T00:00:00.000Z,,2120,B&E RESIDENCE,12,Fredericton,1314
Silverwood,2017-07-24T00:00:00.000Z,2017-07-24T00:00:00.000Z,2120,B&E RESIDENCE,12,Fredericton,1315
Silverwood,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,2135,MOTOR VEH THEFT,12,Fredericton,1316
Silverwood,2017-02-03T00:00:00.000Z,2017-02-04T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1317
Silverwood,2017-02-06T00:00:00.000Z,2017-02-06T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1318
Silverwood,2017-01-23T00:00:00.000Z,,2140,THEFT OTH <$5000,12,Fredericton,1319
Silverwood,2017-03-06T00:00:00.000Z,,2140,THEFT OTH <$5000,12,Fredericton,1320
Prospect,2017-04-28T00:00:00.000Z,2017-04-29T00:00:00.000Z,2120,B&E NON-RESIDNCE,9,Fredericton,1321
Prospect,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,2120,B&E RESIDENCE,9,Fredericton,1322
Prospect,2017-10-21T00:00:00.000Z,,2120,B&E RESIDENCE,9,Fredericton,1323
Prospect,2017-01-26T00:00:00.000Z,,2170,MISCHIEF TO PROP,9,Fredericton,1324
Prospect,2017-01-27T00:00:00.000Z,,2170,MISCHIEF TO PROP,9,Fredericton,1325
Prospect,2017-02-17T00:00:00.000Z,2017-02-18T00:00:00.000Z,2170,MISCHIEF TO PROP,9,Fredericton,1326
Prospect,2017-03-03T00:00:00.000Z,,2170,MISCHIEF TO PROP,9,Fredericton,1327
Prospect,2017-03-09T00:00:00.000Z,,2170,MISCHIEF TO PROP,9,Fredericton,1328
Prospect,2017-04-07T00:00:00.000Z,,2170,MISCHIEF TO PROP,9,Fredericton,1329
Prospect,2017-04-21T00:00:00.000Z,,2170,MISCHIEF TO PROP,9,Fredericton,1330
Prospect,2017-04-28T00:00:00.000Z,2017-04-29T00:00:00.000Z,2170,MISCHIEF TO PROP,9,Fredericton,1331
Prospect,2017-05-18T00:00:00.000Z,,2170,MISCHIEF TO PROP,9,Fredericton,1332
Prospect,2017-07-01T00:00:00.000Z,,2170,MISCHIEF TO PROP,9,Fredericton,1333
Prospect,2017-07-14T00:00:00.000Z,2017-07-15T00:00:00.000Z,2170,MISCHIEF TO PROP,9,Fredericton,1334
Prospect,2017-07-29T00:00:00.000Z,,2170,MISCHIEF TO PROP,11,Fredericton,1335
Prospect,2017-08-25T00:00:00.000Z,,2170,MISCHIEF TO PROP,11,Fredericton,1336
Prospect,2017-09-02T00:00:00.000Z,,2170,MISCHIEF TO PROP,9,Fredericton,1337
Prospect,2017-09-25T00:00:00.000Z,2017-09-25T00:00:00.000Z,2170,MISCHIEF TO PROP,9,Fredericton,1338
Prospect,2017-10-16T00:00:00.000Z,,2170,MISCHIEF TO PROP,9,Fredericton,1339
Prospect,2017-02-15T00:00:00.000Z,2017-02-16T00:00:00.000Z,2142,THEFT FROM MV < $5000,9,Fredericton,1340
Prospect,2017-03-10T00:00:00.000Z,2017-03-13T00:00:00.000Z,2142,THEFT FROM MV < $5000,9,Fredericton,1341
Prospect,2017-04-01T00:00:00.000Z,2017-04-03T00:00:00.000Z,2142,THEFT FROM MV < $5000,9,Fredericton,1342
Prospect,2017-04-10T00:00:00.000Z,,2142,THEFT FROM MV < $5000,9,Fredericton,1343
Prospect,2017-04-09T00:00:00.000Z,2017-04-10T00:00:00.000Z,2142,THEFT FROM MV < $5000,9,Fredericton,1344
Prospect,2017-04-25T00:00:00.000Z,2017-04-26T00:00:00.000Z,2142,THEFT FROM MV < $5000,9,Fredericton,1345
Prospect,2017-06-14T00:00:00.000Z,2017-06-14T00:00:00.000Z,2142,THEFT FROM MV < $5000,11,Fredericton,1346
Prospect,2017-07-09T00:00:00.000Z,2017-07-09T00:00:00.000Z,2142,THEFT FROM MV < $5000,9,Fredericton,1347
Prospect,2017-07-09T00:00:00.000Z,2017-07-10T00:00:00.000Z,2142,THEFT FROM MV < $5000,9,Fredericton,1348
Prospect,2017-07-13T00:00:00.000Z,2017-07-13T00:00:00.000Z,2142,THEFT FROM MV < $5000,9,Fredericton,1349
Prospect,2017-09-14T00:00:00.000Z,2017-09-15T00:00:00.000Z,2142,THEFT FROM MV < $5000,9,Fredericton,1350
Prospect,2017-02-09T00:00:00.000Z,2017-02-09T00:00:00.000Z,2132,THEFT FROM MV > $5000,9,Fredericton,1351
Prospect,2017-09-27T00:00:00.000Z,,2132,THEFT FROM MV > $5000,9,Fredericton,1352
Prospect,2017-01-07T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1353
Prospect,2017-01-16T00:00:00.000Z,,2140,THEFT OTH <$5000,12,Fredericton,1354
Prospect,2017-01-19T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1355
Prospect,2017-01-25T00:00:00.000Z,,2140,THEFT OTH <$5000,12,Fredericton,1356
Prospect,2017-01-26T00:00:00.000Z,,2140,THEFT OTH <$5000,11,Fredericton,1357
Prospect,2017-02-02T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1358
Prospect,2017-02-02T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1359
Prospect,2017-02-10T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1360
Prospect,2017-02-15T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1361
Prospect,2017-02-16T00:00:00.000Z,2017-02-16T00:00:00.000Z,2140,THEFT OTH <$5000,9,Fredericton,1362
North Devon,2017-07-21T00:00:00.000Z,2017-07-22T00:00:00.000Z,2170,MISCHIEF TO PROP,3,Fredericton,1363
North Devon,2017-07-30T00:00:00.000Z,,2170,MISCHIEF TO PROP,3,Fredericton,1364
North Devon,2017-08-11T00:00:00.000Z,2017-08-12T00:00:00.000Z,2170,MISCHIEF TO PROP,3,Fredericton,1365
North Devon,2017-08-13T00:00:00.000Z,,2170,MISCHIEF TO PROP,3,Fredericton,1366
North Devon,2017-08-20T00:00:00.000Z,2017-08-22T00:00:00.000Z,2170,MISCHIEF TO PROP,3,Fredericton,1367
North Devon,2017-09-15T00:00:00.000Z,2017-09-16T00:00:00.000Z,2170,MISCHIEF TO PROP,3,Fredericton,1368
North Devon,2017-09-10T00:00:00.000Z,,2140,THEFT BIKE<$5000,3,Fredericton,1369
North Devon,2017-01-31T00:00:00.000Z,2017-01-31T00:00:00.000Z,2142,THEFT FROM MV < $5000,3,Fredericton,1370
North Devon,2017-01-15T00:00:00.000Z,,2142,THEFT FROM MV < $5000,3,Fredericton,1371
North Devon,2017-07-02T00:00:00.000Z,2017-07-03T00:00:00.000Z,2142,THEFT FROM MV < $5000,3,Fredericton,1372
North Devon,2017-07-11T00:00:00.000Z,2017-07-12T00:00:00.000Z,2142,THEFT FROM MV < $5000,3,Fredericton,1373
North Devon,2017-06-08T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1374
North Devon,2017-06-08T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1375
North Devon,2017-06-22T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1376
North Devon,2017-08-14T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1377
North Devon,2017-09-02T00:00:00.000Z,2017-09-03T00:00:00.000Z,2142,THEFT FROM MV < $5000,3,Fredericton,1378
Hanwell North,2017-02-23T00:00:00.000Z,2017-02-23T00:00:00.000Z,2120,B&E RESIDENCE,12,Fredericton,1379
Hanwell North,2017-10-15T00:00:00.000Z,,2170,MISCHIEF TO PROP,12,Fredericton,1380
Hanwell North,2017-02-03T00:00:00.000Z,2017-02-05T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1381
Hanwell North,2017-02-15T00:00:00.000Z,,2142,THEFT FROM MV < $5000,12,Fredericton,1382
Hanwell North,2017-09-18T00:00:00.000Z,2017-09-18T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1383
Hanwell North,2017-07-13T00:00:00.000Z,,2140,THEFT OTH <$5000,12,Fredericton,1384
Doak Road,2017-01-16T00:00:00.000Z,,2130,THEFT OTH >$5000,7,Fredericton,1385
Montogomery / Prospect East,2017-03-08T00:00:00.000Z,2017-03-08T00:00:00.000Z,2170,MISCHIEF TO PROP,8,Fredericton,1386
Montogomery / Prospect East,2017-10-17T00:00:00.000Z,,2170,MISCHIEF TO PROP,8,Fredericton,1387
Montogomery / Prospect East,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,2142,THEFT FROM MV < $5000,11,Fredericton,1388
Montogomery / Prospect East,2017-06-13T00:00:00.000Z,2017-06-14T00:00:00.000Z,2142,THEFT FROM MV < $5000,11,Fredericton,1389
Montogomery / Prospect East,2017-06-13T00:00:00.000Z,2017-06-14T00:00:00.000Z,2142,THEFT FROM MV < $5000,9,Fredericton,1390
Montogomery / Prospect East,2017-01-20T00:00:00.000Z,2017-01-21T00:00:00.000Z,2140,THEFT OTH <$5000,8,Fredericton,1391
Montogomery / Prospect East,2017-01-31T00:00:00.000Z,,2140,THEFT OTH <$5000,8,Fredericton,1392
Montogomery / Prospect East,2017-03-19T00:00:00.000Z,2017-03-20T00:00:00.000Z,2140,THEFT OTH <$5000,8,Fredericton,1393
Montogomery / Prospect East,2017-05-01T00:00:00.000Z,,2140,THEFT OTH <$5000,8,Fredericton,1394
Montogomery / Prospect East,2017-05-08T00:00:00.000Z,,2140,THEFT OTH <$5000,8,Fredericton,1395
Montogomery / Prospect East,2017-05-09T00:00:00.000Z,2017-05-09T00:00:00.000Z,2140,THEFT OTH <$5000,8,Fredericton,1396
Montogomery / Prospect East,2017-05-15T00:00:00.000Z,2017-05-15T00:00:00.000Z,2140,THEFT OTH <$5000,8,Fredericton,1397
Montogomery / Prospect East,2017-05-28T00:00:00.000Z,,2140,THEFT OTH <$5000,8,Fredericton,1398
Montogomery / Prospect East,2017-07-03T00:00:00.000Z,2017-07-04T00:00:00.000Z,2140,THEFT OTH <$5000,9,Fredericton,1399
Montogomery / Prospect East,2017-07-06T00:00:00.000Z,2017-07-24T00:00:00.000Z,2140,THEFT OTH <$5000,8,Fredericton,1400
Montogomery / Prospect East,2017-10-18T00:00:00.000Z,,2140,THEFT OTH <$5000,8,Fredericton,1401
Fredericton South,2017-07-23T00:00:00.000Z,,2120,B&E OTHER,7,Fredericton,1402
Fredericton South,2017-01-05T00:00:00.000Z,,2135,MOTOR VEH THEFT,7,Fredericton,1403
Fredericton South,2017-10-08T00:00:00.000Z,2017-10-09T00:00:00.000Z,2142,THEFT FROM MV < $5000,7,Fredericton,1404
Fredericton South,2017-06-30T00:00:00.000Z,,2120,B&E NON-RESIDNCE,12,Fredericton,1405
Fredericton South,2017-04-14T00:00:00.000Z,2017-04-17T00:00:00.000Z,2120,B&E RESIDENCE,12,Fredericton,1406
Fredericton South,2017-10-16T00:00:00.000Z,2017-10-17T00:00:00.000Z,2170,MISCHIEF TO PROP,9,Fredericton,1407
Fredericton South,2017-08-02T00:00:00.000Z,2017-08-02T00:00:00.000Z,2140,THEFT BIKE<$5000,12,Fredericton,1408
Fredericton South,2017-01-25T00:00:00.000Z,2017-01-26T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1409
Fredericton South,2017-02-24T00:00:00.000Z,2017-02-25T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1410
Fredericton South,2017-07-07T00:00:00.000Z,,2142,THEFT FROM MV < $5000,12,Fredericton,1411
Fredericton South,2017-07-02T00:00:00.000Z,2017-07-02T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1412
Fredericton South,2017-10-16T00:00:00.000Z,2017-10-17T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1413
Fredericton South,2017-10-16T00:00:00.000Z,2017-10-17T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1414
Fredericton South,2017-09-20T00:00:00.000Z,,2140,THEFT OTH <$5000,12,Fredericton,1415
Woodstock Road,2017-01-28T00:00:00.000Z,,2120,B&E NON-RESIDNCE,12,Fredericton,1416
Woodstock Road,2017-05-05T00:00:00.000Z,2017-05-06T00:00:00.000Z,2170,MISCHIEF TO PROP,10,Fredericton,1417
Woodstock Road,2017-03-14T00:00:00.000Z,2017-03-15T00:00:00.000Z,2135,MOTOR VEH THEFT,10,Fredericton,1418
Woodstock Road,2017-09-24T00:00:00.000Z,2017-09-25T00:00:00.000Z,2135,MOTOR VEH THEFT,10,Fredericton,1419
Woodstock Road,2017-07-24T00:00:00.000Z,2017-07-24T00:00:00.000Z,2140,THEFT BIKE<$5000,10,Fredericton,1420
Woodstock Road,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1421
Woodstock Road,2017-06-11T00:00:00.000Z,,2142,THEFT FROM MV < $5000,10,Fredericton,1422
Woodstock Road,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z,2132,THEFT FROM MV > $5000,10,Fredericton,1423
Woodstock Road,2017-03-02T00:00:00.000Z,2017-03-10T00:00:00.000Z,2140,THEFT OTH <$5000,10,Fredericton,1424
Woodstock Road,2017-09-12T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1425
North Devon,2017-05-12T00:00:00.000Z,,2140,THEFT OTH <$5000,3,Fredericton,1426
North Devon,2017-05-24T00:00:00.000Z,2017-05-24T00:00:00.000Z,2140,THEFT OTH <$5000,3,Fredericton,1427
North Devon,2017-06-02T00:00:00.000Z,,2140,THEFT OTH <$5000,3,Fredericton,1428
North Devon,2017-10-16T00:00:00.000Z,2017-10-16T00:00:00.000Z,2140,THEFT OTH <$5000,3,Fredericton,1429
North Devon,2017-06-27T00:00:00.000Z,,2120,B&E RESIDENCE,0,Fredericton,1430
North Devon,2017-01-08T00:00:00.000Z,,2170,MISCHIEF TO PROP,3,Fredericton,1431
North Devon,2017-03-29T00:00:00.000Z,,2170,MISCHIEF TO PROP,3,Fredericton,1432
North Devon,2017-03-31T00:00:00.000Z,2017-03-31T00:00:00.000Z,2170,MISCHIEF TO PROP,3,Fredericton,1433
North Devon,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,2170,MISCHIEF TO PROP,3,Fredericton,1434
North Devon,2017-06-12T00:00:00.000Z,,2170,MISCHIEF TO PROP,0,Fredericton,1435
North Devon,2017-08-08T00:00:00.000Z,,2170,MISCHIEF TO PROP,3,Fredericton,1436
North Devon,2017-06-23T00:00:00.000Z,2017-07-02T00:00:00.000Z,2140,THEFT BIKE<$5000,0,Fredericton,1437
North Devon,2017-02-28T00:00:00.000Z,2017-02-28T00:00:00.000Z,2142,THEFT FROM MV < $5000,3,Fredericton,1438
North Devon,2017-02-28T00:00:00.000Z,2017-02-28T00:00:00.000Z,2142,THEFT FROM MV < $5000,3,Fredericton,1439
North Devon,2017-06-11T00:00:00.000Z,2017-06-12T00:00:00.000Z,2142,THEFT FROM MV < $5000,3,Fredericton,1440
North Devon,2017-06-12T00:00:00.000Z,,2142,THEFT FROM MV < $5000,3,Fredericton,1441
North Devon,2017-06-16T00:00:00.000Z,2017-06-17T00:00:00.000Z,2142,THEFT FROM MV < $5000,3,Fredericton,1442
North Devon,2017-01-23T00:00:00.000Z,,2140,THEFT OTH <$5000,3,Fredericton,1443
North Devon,2017-01-25T00:00:00.000Z,,2140,THEFT OTH <$5000,3,Fredericton,1444
North Devon,2017-02-10T00:00:00.000Z,,2140,THEFT OTH <$5000,3,Fredericton,1445
North Devon,2017-04-17T00:00:00.000Z,,2140,THEFT OTH <$5000,3,Fredericton,1446
North Devon,2017-05-21T00:00:00.000Z,,2140,THEFT OTH <$5000,3,Fredericton,1447
North Devon,2017-09-18T00:00:00.000Z,2017-09-20T00:00:00.000Z,2140,THEFT OTH <$5000,3,Fredericton,1448
North Devon,2017-09-26T00:00:00.000Z,,2140,THEFT OTH <$5000,3,Fredericton,1449
Wesbett / Case,,,0, ,0, ,1450
Serenity Lane,2017-06-16T00:00:00.000Z,2017-06-19T00:00:00.000Z,2120,B&E NON-RESIDNCE,12,Fredericton,1451
Serenity Lane,2017-09-19T00:00:00.000Z,,2120,B&E OTHER,12,Fredericton,1452
Monteith / Talisman,2017-04-19T00:00:00.000Z,,2120,B&E NON-RESIDNCE,12,Fredericton,1453
Monteith / Talisman,2017-04-19T00:00:00.000Z,,2120,B&E NON-RESIDNCE,12,Fredericton,1454
Monteith / Talisman,2017-02-20T00:00:00.000Z,2017-03-26T00:00:00.000Z,2120,B&E OTHER,12,Fredericton,1455
Monteith / Talisman,2017-06-11T00:00:00.000Z,2017-06-12T00:00:00.000Z,2120,B&E RESIDENCE,12,Fredericton,1456
Monteith / Talisman,2017-06-11T00:00:00.000Z,2017-06-12T00:00:00.000Z,2120,B&E RESIDENCE,12,Fredericton,1457
Monteith / Talisman,2017-06-23T00:00:00.000Z,,2120,B&E RESIDENCE,12,Fredericton,1458
Monteith / Talisman,2017-06-05T00:00:00.000Z,2017-06-05T00:00:00.000Z,2140,THEFT BIKE<$5000,12,Fredericton,1459
Monteith / Talisman,2017-07-11T00:00:00.000Z,,2142,THEFT FROM MV < $5000,12,Fredericton,1460
